S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,time,q_gas,q_h2,pH,temperature_C,cumulative_h2
0.012394,0.0055432,0.10741,0.012333,0.014003,0.017584,0.089315,2.51e-07,0.05549,0.095149,0.094468,0.13087,0.10792,0.020517,0.08422,0.043629,0.31222,0.93167,0.33839,0.33577,0.10112,0.67724,0.28484,17.2162,1.08e-47,0.0052101,3.162277660168379e-06,0.012284,0.013953,0.017511,0.089035,0.08568,0.0094689,0.001884,0.092584,1.1e-05,1.6535,0.01354,0.0,0.0,0.0,5.5,35.0,0.0
0.03069754546099553,0.0019061152265543,0.21042750189241788,0.05227747402958256,0.08735257144172522,0.08567794369303161,0.2503712845863555,0.00576843511171331,0.014060226216042143,0.0942284380062638,0.09349422761184492,0.1312527822267565,0.15348553643091273,0.027509492133273087,0.027927886987320672,0.018005640127378826,0.32549271867992013,0.9139076130799454,0.3263801349243015,0.3239365197062636,0.0975306744950657,0.6531328207122108,0.27470077469090115,17.035782514887995,0.0010361517519038167,0.005593214519887058,3.162277660168379e-06,0.042533591204857064,0.07225612682179723,0.06910161968680445,0.2118253986131757,0.012724688820711509,0.0815037491855523,3.28146262070058e-05,0.09346141298563791,0.2759560259530625,0.4666832155447222,0.013585978539049276,0.5,973.8687335074436,416.80996024049705,5.5,35.0,208.40498012024852
0.029495215390054636,0.0019498470364305513,0.28759680341989463,0.07619513770627573,0.13973720429950662,0.15598658814616587,0.405540396571452,0.0006858489828388253,-1.4026883679185222e-10,-1.0859869713337202,0.09215432087903341,0.13259984618826617,0.18747578594446604,0.027911310428401448,0.027915142723943444,0.018371805712168857,0.3408986878070775,0.8922974296904064,0.31491111434591434,0.31322191419521017,0.09412302266722174,0.6298837540479059,0.2649224624992699,16.861986874615294,0.0020454635111859846,0.005966405019602238,3.162277660168379e-06,0.06199329441898057,0.11558754354843896,0.1258074765302196,0.3431054655465656,-0.1466526089782995,-0.9393343623554208,3.234434542376855e-05,0.09212197653360965,0.004980165678996968,1.0474681193795994e-09,0.10009210560261513,1.0,80755.78064181194,245.04806161369478,5.5,35.0,330.92901092709593
0.02832892745603192,0.0020156126488549207,0.3667330378576871,0.10263351175980141,0.1987503479667161,0.22470687670791475,0.5492816550209462,0.010518566193450894,-4.767833082120921e-11,91.65753162205618,0.09085830838987141,0.1346372205877793,0.2127033845302962,0.028178582455212688,0.02817860837428707,0.018770541719551156,0.35592298793905586,0.8715482156960694,0.30373448129118974,0.30226651237124835,0.09078715045469724,0.6074622778487503,0.2554922261272786,16.694143657000975,0.003028629996737969,0.0063299283697188695,3.162277660168379e-06,0.08350387837484315,0.16440191870184215,0.18123228063120375,0.46471705298770366,12.377511424816992,79.2800201972392,3.18894706525899e-05,0.09082641891921882,0.5267529022866263,-5.8244943418419494e-12,-1064.482667158803,1.5,0.0,0.0,5.5,35.0,330.92901092709593
0.02725503952192776,0.0020776827679353186,0.4426336510535505,0.12409223662310166,0.2437408930803519,0.292463460313073,0.7040069162238205,0.00061394902375088,-4.767833082120921e-11,-7306.607255597487,0.08959343900669074,0.1371581078473164,0.23131033227329612,0.02837570598652657,0.028375706235805768,0.019066212368565188,0.3705277814831906,0.8516277938470019,0.2931230810028647,0.29274267460964665,0.08764247200646327,0.5858388606041732,0.2463976449331,16.531720545705095,0.003986330152661121,0.00668403560812106,3.162277660168379e-06,0.10096295894550406,0.2016171085910301,0.2358798301608223,0.5956216021414715,-986.6904899394651,-6319.916765658022,3.1445526496143376e-05,0.0895619934801946,5.1758186340460736e-05,-5.8244943418419494e-12,6.323328405930159,2.0,8052679.040669301,4.118170248161557,5.5,35.0,332.9880960511767
0.026270024594170747,0.0021367512554812205,0.5204624676416346,0.1494944957596652,0.3001304840327245,0.3582806274337811,0.8421132019291854,0.010549556841805271,-4.767833082120921e-11,616653.0449601676,0.08837160422885577,0.1400082414091812,0.24491046847643333,0.02852008904268017,0.02852008904450076,0.019282786811588258,0.38469606539981244,0.8324832195437134,0.28272798622907647,0.2825667230164406,0.08453934017909556,0.5649852158575763,0.23762682193147494,16.37429414996589,0.004919220828212552,0.007028969603179514,3.162277660168379e-06,0.12163054715343924,0.24826133861237626,0.2889631869175266,0.7124657485013706,83273.35434490327,533379.6906152643,3.101668663569947e-05,0.08834058754222007,0.5281664687400327,-5.8244943418419494e-12,-7162566.038043161,2.5,0.0,0.0,5.5,35.0,332.9880960511767
0.025368028481666208,0.002193558354716524,0.5942203058507358,0.16944606735819234,0.3415524671496305,0.4232595307494788,0.9917508172160927,0.0006193533393619572,-4.767833082120921e-11,-52007491.78876022,0.08717556431214402,0.1430708156435923,0.2547374051568337,0.028624692237430548,0.02862469223743533,0.019439691602677684,0.3984194366964679,0.8140685129499433,0.2728774624770006,0.27386684765452657,0.08161853846248565,0.5448737795865276,0.22916816398533213,16.22151781022268,0.00582794852534444,0.007364969397374792,3.162277660168379e-06,0.13786338942477738,0.28252469246569917,0.34137046084410866,0.8390659197552012,-7023136.150401764,-44984355.63835846,3.059690026173747e-05,0.08714496741188228,6.180704262080328e-07,-5.8244943418419494e-12,531.9283253822596,3.0,681382418.7455271,0.04948277117857042,5.5,35.0,333.01283743676595
0.024542427133748525,0.0022486711328618086,0.6695872231159866,0.1938067100550691,0.3955877001454214,0.48603009768798416,1.123350800951307,0.010602799008517367,-4.767833082120921e-11,4389257129.74031,0.08601922329345528,0.1462599378953707,0.2617149825303138,0.028699274143394973,0.028699274143395008,0.019551564461621602,0.4116959187560493,0.7963443561272572,0.263204710416564,0.26437941876696264,0.07872977769316761,0.5254783365563782,0.22101064524351546,16.073111142591745,0.006713134298853774,0.007692264624165436,3.162277660168379e-06,0.1576835057787201,0.32722144934129865,0.39199665070284684,0.9504054412113224,592729035.0108751,3796528094.7294345,3.0191047416429916e-05,0.08598903224603885,0.5308720759672387,-5.8244943418419494e-12,-50982269193.53392,3.5,0.0,0.0,5.5,35.0,333.01283743676595
0.023786458612182038,0.0023025289341514327,0.7404912573482593,0.21248539827825014,0.43437292954056456,0.5481015508309045,1.266643157309407,0.0006214217861647623,-4.767833082120921e-11,-370428194833.844,0.08488519684365843,0.14951056829117668,0.26655195247599256,0.028751265951999165,0.028751265951999165,0.019629552174527873,0.4245277372647071,0.7792761087191482,0.2540527214743288,0.2563694025978722,0.076013694556606,0.506773758136209,0.21314369686893542,15.928839934859353,0.007575373662716231,0.008011075473355169,3.162277660168379e-06,0.17288071459332707,0.3593037384798337,0.44205898604386457,1.071637237237463,-50022940095.4861,-320405254738.3579,2.9793026543810533e-05,0.08485540381711462,7.347909984486557e-09,-5.8244943418419494e-12,44891.28149642478,4.0,57508224015.69966,0.000588317512467089,5.5,35.0,333.01313159552217
0.023093595413740536,0.002355470783961849,0.8128102075936009,0.2358031880357929,0.4861430593429137,0.6078089929696318,1.3915234920424897,0.010624859267306755,-4.767833082120921e-11,31262891921656.117,0.08378823004004163,0.15277573406757217,0.2697802755620196,0.028786301086809976,0.028786301086809976,0.019682104876744096,0.4369215494556526,0.7628319163403778,0.24505022650545324,0.2475094956598099,0.07332391717611529,0.4887345315929034,0.2055565884751679,15.78850044967456,0.008415294495704516,0.00832163410155051,3.162277660168379e-06,0.19185235306206594,0.40212685178766516,0.490214681445758,1.1772916325787073,4221767650570.2603,27041124271085.855,2.940801287460708e-05,0.08375882202716702,0.5319920992760732,-5.8244943418419494e-12,-363125955325385.2,4.5,0.0,0.0,5.5,35.0,333.01313159552217
